Reg_ID,Course_ID,Staff_ID,Reg_Status,Completion_Status
1,COR002,130001,Registered,Completed
2,COR002,130002,Registered,Completed
3,COR002,140001,Registered,Completed
4,COR002,140002,Registered,Completed
5,COR002,140003,Rejected,
6,COR002,140008,Registered,OnGoing
7,COR002,140025,Registered,OnGoing
8,COR002,140036,Waitlist,
9,COR002,140078,Waitlist,
10,COR002,140102,Registered,
11,COR002,140103,Registered,
12,COR002,140108,Registered,
13,COR002,140115,Registered,Completed
14,COR002,140525,Rejected,
15,COR002,140878,Registered,Completed
16,COR002,150075,Registered,Completed
17,COR002,150065,Waitlist,
18,COR002,150076,Waitlist,
19,COR002,150118,Registered,Completed
20,COR002,150142,Registered,OnGoing
21,COR002,150143,Registered,OnGoing
22,COR002,150148,Registered,
23,COR002,150155,Rejected,
24,COR002,150776,Registered,
25,COR002,150095,Registered,
26,COR002,150085,Waitlist,
27,COR002,150096,Waitlist,
28,COR002,150138,Registered,Completed
29,COR002,150162,Registered,Completed
30,COR002,150163,Registered,Completed
31,COR002,150168,Registered,Completed
32,COR002,150175,Rejected,
33,COR002,150796,Registered,OnGoing
34,COR002,150125,Registered,OnGoing
35,COR002,150115,Waitlist,
36,COR002,150126,Waitlist,
37,COR002,150192,Registered,
38,COR002,150193,Registered,
39,COR002,150198,Registered,
40,COR002,150205,Registered,Completed
41,COR002,150615,Rejected,
42,COR002,150968,Registered,Completed
43,COR002,150166,Registered,Completed
44,COR002,150208,Waitlist,
45,COR002,150232,Waitlist,
46,COR002,150233,Registered,Completed
47,COR002,150238,Registered,OnGoing
48,COR002,150245,Registered,OnGoing
49,COR002,150655,Registered,
50,COR002,150866,Rejected,
51,COR002,150215,Registered,
52,COR002,150258,Registered,
53,COR002,150282,Waitlist,
54,COR002,150283,Waitlist,
55,COR002,150288,Registered,Completed
56,COR002,150295,Registered,Completed
57,COR002,150705,Registered,Completed
58,COR002,150916,Registered,Completed
59,COR002,151058,Rejected,
60,COR002,150265,Registered,OnGoing
61,COR002,150318,Registered,OnGoing
62,COR002,150342,Waitlist,
63,COR002,150343,Waitlist,
64,COR002,150348,Registered,
65,COR002,150355,Registered,
66,COR002,150765,Registered,
67,COR002,150976,Registered,Completed
68,COR002,151118,Rejected,
69,COR002,150356,Registered,Completed
70,COR002,150422,Registered,Completed
71,COR002,150423,Waitlist,
72,COR002,150428,Waitlist,
73,COR002,150435,Registered,Completed
74,COR002,150845,Registered,OnGoing
75,COR002,151056,Registered,OnGoing
76,COR002,151198,Registered,
77,COR002,150445,Rejected,
78,COR002,150488,Registered,
79,COR002,150513,Registered,Completed
80,COR002,150518,Waitlist,
81,COR002,150525,Waitlist,
82,COR002,150935,Registered,Completed
83,COR002,151146,Registered,Completed
84,COR002,151288,Registered,Completed
85,COR002,150555,Registered,OnGoing
86,COR002,150566,Rejected,
87,COR002,150632,Registered,OnGoing
88,COR002,150638,Registered,
89,COR002,150645,Waitlist,
90,COR002,151055,Waitlist,
91,COR002,151266,Registered,
92,COR002,151408,Registered,
93,COR002,150695,Registered,Completed
94,COR002,160008,Registered,Completed
95,COR002,160075,Rejected,
96,COR002,160076,Registered,Completed
97,COR002,160142,Registered,Completed
98,COR002,160143,Waitlist,
99,COR002,160148,Waitlist,
100,COR002,160155,Registered,OnGoing
101,COR002,160145,Registered,OnGoing
102,COR002,160135,Registered,
103,COR002,160146,Registered,
104,COR002,160188,Rejected,
105,COR002,160213,Registered,
106,COR002,160225,Registered,Completed
107,COR002,160258,Waitlist,
108,COR002,160282,Waitlist,
109,COR002,151008,Registered,
110,COR002,150216,Waitlist,
111,SAL004,140001,Registered,Completed
112,SAL004,140002,Registered,Completed
113,SAL003,140003,Registered,Completed
